Sr. No.,Lease Name,Area,Document Name,condition_type,shortened_condition_text,condition_text,Evidence,clause_number,Priority,AI Validated,Location,Type,Assigned by,Assigned to,Progress Status,create date,deadline date,completion date,approved date,validation date,closure date
1223,Jhillingburu - I,210.53,EC,Transportation,Fully cover belt conveyor to avoid dust generation,"The Main haulage road within the mine lease should be provided with a permanent water sprinkling arrangement for dust suppression. Other roads within the mine lease should be wetted regularly with tanker-mounted water sprinkling system. The other areas of dust generation like crushing zone, material transfer points, material yards etc. should invariably be provided with dust suppression arrangements. The air pollution control equipments like bag filters, vacuum suction hoods, dry fogging system etc. shall be installed at Crushers, belt-conveyors and other areas prone to air pollution. The belt conveyor should be fully covered to avoid generation of dust while transportation. PP shall take necessary measures to avoid generation of fugitive dust emissions.",image,11.1,2,1,Gua,Manganese Ore Mine,Shreyas,test_user,Approved,3/29/2025,3/29/2025,4/25/2025,4/26/2025,4/26/2025,4/26/2025
1224,Jhillingburu - I,210.53,EC,Transportation,No Transportation of minerals in case of roads passing through villages,"No Transportation of the minerals shall be allowed in case of roads passing through villages/ habitations. In such cases, PP shall construct a 'bypass' road for the purpose of transportation of the minerals leaving an adequate gap (say at least 200 meters) so that the adverse impact of sound and dust along with chances of accidents could be mitigated. All costs resulting from widening and strengthening of existing public road network shall be borne by the PP in consultation with nodal State Govt. Department. Transportation of minerals through road movement in case of existing village/ rural roads shall be allowed in consultation with nodal State Govt. Department only after required strengthening such that the carrying capacity of roads is increased to handle the traffic load. The pollution due to transportation load on the environment will be effectively controlled and water sprinkling will also be done regularly. Vehicular emissions shall be kept under control and regularly monitored. Project should obtain Pollution Under Control (PUC) certificate for all the vehicles from authorized pollution testing centers. [If applicable in case of road transport].","pdf,kml",11.2,3,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
1225,Jhillingburu - I,210.53,EC,Transportation,Transportation through road movement allowed only after required strengthening,"No Transportation of the minerals shall be allowed in case of roads passing through villages/ habitations. In such cases, PP shall construct a 'bypass' road for the purpose of transportation of the minerals leaving an adequate gap (say at least 200 meters) so that the adverse impact of sound and dust along with chances of accidents could be mitigated. All costs resulting from widening and strengthening of existing public road network shall be borne by the PP in consultation with nodal State Govt. Department. Transportation of minerals through road movement in case of existing village/ rural roads shall be allowed in consultation with nodal State Govt. Department only after required strengthening such that the carrying capacity of roads is increased to handle the traffic load. The pollution due to transportation load on the environment will be effectively controlled and water sprinkling will also be done regularly. Vehicular emissions shall be kept under control and regularly monitored. Project should obtain Pollution Under Control (PUC) certificate for all the vehicles from authorized pollution testing centers. [If applicable in case of road transport].",pdf,11.2,2,0,Gua,Manganese Ore Mine,Ankit,Vinay,Evidence Pending,4/24/2025,4/24/2025,6/6/2025,,12/31/2027,12/31/2027
1226,Jhillingburu - I,210.53,EC,Transportation,Effectively control pollution due to transportation load,"No Transportation of the minerals shall be allowed in case of roads passing through villages/ habitations. In such cases, PP shall construct a 'bypass' road for the purpose of transportation of the minerals leaving an adequate gap (say at least 200 meters) so that the adverse impact of sound and dust along with chances of accidents could be mitigated. All costs resulting from widening and strengthening of existing public road network shall be borne by the PP in consultation with nodal State Govt. Department. Transportation of minerals through road movement in case of existing village/ rural roads shall be allowed in consultation with nodal State Govt. Department only after required strengthening such that the carrying capacity of roads is increased to handle the traffic load. The pollution due to transportation load on the environment will be effectively controlled and water sprinkling will also be done regularly. Vehicular emissions shall be kept under control and regularly monitored. Project should obtain Pollution Under Control (PUC) certificate for all the vehicles from authorized pollution testing centers. [If applicable in case of road transport].",pdf,11.2,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
1227,Jhillingburu - I,210.53,EC,Transportation,Keep vehicular emissions under control and regularly monitored,"No Transportation of the minerals shall be allowed in case of roads passing through villages/ habitations. In such cases, PP shall construct a 'bypass' road for the purpose of transportation of the minerals leaving an adequate gap (say at least 200 meters) so that the adverse impact of sound and dust along with chances of accidents could be mitigated. All costs resulting from widening and strengthening of existing public road network shall be borne by the PP in consultation with nodal State Govt. Department. Transportation of minerals through road movement in case of existing village/ rural roads shall be allowed in consultation with nodal State Govt. Department only after required strengthening such that the carrying capacity of roads is increased to handle the traffic load. The pollution due to transportation load on the environment will be effectively controlled and water sprinkling will also be done regularly. Vehicular emissions shall be kept under control and regularly monitored. Project should obtain Pollution Under Control (PUC) certificate for all the vehicles from authorized pollution testing centers. [If applicable in case of road transport].",pdf,11.2,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
1228,Jhillingburu - I,210.53,EC,Transportation,Obtain PUC certificate for all the vehicles,"No Transportation of the minerals shall be allowed in case of roads passing through villages/ habitations. In such cases, PP shall construct a 'bypass' road for the purpose of transportation of the minerals leaving an adequate gap (say at least 200 meters) so that the adverse impact of sound and dust along with chances of accidents could be mitigated. All costs resulting from widening and strengthening of existing public road network shall be borne by the PP in consultation with nodal State Govt. Department. Transportation of minerals through road movement in case of existing village/ rural roads shall be allowed in consultation with nodal State Govt. Department only after required strengthening such that the carrying capacity of roads is increased to handle the traffic load. The pollution due to transportation load on the environment will be effectively controlled and water sprinkling will also be done regularly. Vehicular emissions shall be kept under control and regularly monitored. Project should obtain Pollution Under Control (PUC) certificate for all the vehicles from authorized pollution testing centers. [If applicable in case of road transport].",pdf,11.2,1,0,Gua,Manganese Ore Mine,Ankit,Vinay,Approval Pending,10/8/2024,10/8/2024,11/4/2024,,12/31/2027,12/31/2027
1229,Jhillingburu - I,210.53,EC,Green Belt And Emp,Prepare GHG emissions inventory for the plant,The project proponent shall prepare GHG emissions inventory for the plant and shall submit the programme for reduction of the same including carbon sequestration including plantation.,pdf,12.1,2,0,Gua,Manganese Ore Mine,Naveen,test_user_SUPER,Approval Pending,10/10/2024,10/10/2024,10/31/2024,,12/31/2027,12/31/2027
1230,Jhillingburu - I,210.53,EC,Green Belt And Emp,Submit the programme for reduction of GHG emissions,The project proponent shall prepare GHG emissions inventory for the plant and shall submit the programme for reduction of the same including carbon sequestration including plantation.,pdf,12.1,2,1,Gua,Manganese Ore Mine,Shreyas,test_user,Approved,10/2/2024,10/2/2024,10/13/2024,10/15/2024,10/15/2024,10/15/2024
1231,Jhillingburu - I,210.53,EC,Green Belt And Emp,Develop green belt in an area equal to 33% of the plant area,Green belt shall be developed in an area equal to 33% of the plant area with a native tree species in accordance with CPCB guidelines. The greenbelt shall inter alia cover the entire periphery of the plant,"image,kml",12.2,3,1,Gua,Manganese Ore Mine,Shreyas,test_user,Approved,10/12/2024,10/12/2024,10/21/2024,10/24/2024,10/24/2024,10/24/2024
1232,Jhillingburu - I,210.53,EC,Green Belt And Emp,Use native tree species in accordance with CPCB guidelines,Green belt shall be developed in an area equal to 33% of the plant area with a native tree species in accordance with CPCB guidelines. The greenbelt shall inter alia cover the entire periphery of the plant,pdf,12.2,2,1,Gua,Manganese Ore Mine,Shreyas,test_user,Approved,3/9/2025,3/9/2025,4/4/2025,4/5/2025,4/5/2025,4/5/2025
1233,Jhillingburu - I,210.53,EC,Public Hearing And Human Health Issues,Carry out heat stress analysis for the workmen,The project proponent shall carry out heat stress analysis for the workmen who work in high temperature work zone and provide Personal Protection Equipment (PPE) as per the norms of Factory Act.,pdf,13.1,2,1,Gua,Manganese Ore Mine,Shreyas,test_user,Approved,5/16/2025,5/16/2025,6/7/2025,6/10/2025,6/10/2025,6/10/2025
1234,Jhillingburu - I,210.53,EC,Public Hearing And Human Health Issues,Provide PPE as per the norms of Factory Act,The project proponent shall carry out heat stress analysis for the workmen who work in high temperature work zone and provide Personal Protection Equipment (PPE) as per the norms of Factory Act.,"image,pdf",13.1,3,1,Gua,Manganese Ore Mine,Shreyas,test_user,Approved,9/20/2024,9/20/2024,10/10/2024,10/13/2024,10/13/2024,10/13/2024
